Aiptasia_ID	Strain	System	Replicate	Temperature	Timepoint	PAM
F003_A_1_30_1	F003	A	1	30	1	0.530
F003_A_2_30_1	F003	A	2	30	1	0.576
F003_A_3_30_1	F003	A	3	30	1	0.628
F003_A_4_30_1	F003	A	4	30	1	0.588
F003_A_5_30_1	F003	A	5	30	1	0.557
F003_A_6_30_1	F003	A	6	30	1	0.616
F003_A_7_30_1	F003	A	7	30	1	0.584
F003_A_8_30_1	F003	A	8	30	1	0.614
F003_A_9_30_1	F003	A	9	30	1	0.540
F003_A_10_30_1	F003	A	10	30	1	0.552
F003_A_1_34_1	F003	A	1	34	1	0.583
F003_A_2_34_1	F003	A	2	34	1	0.500
F003_A_3_34_1	F003	A	3	34	1	0.484
F003_A_4_34_1	F003	A	4	34	1	0.511
F003_A_5_34_1	F003	A	5	34	1	0.592
F003_A_6_34_1	F003	A	6	34	1	0.520
F003_A_7_34_1	F003	A	7	34	1	0.584
F003_A_8_34_1	F003	A	8	34	1	0.547
F003_A_9_34_1	F003	A	9	34	1	0.404
F003_A_10_34_1	F003	A	10	34	1	0.479
F003_A_1_36_1	F003	A	1	36	1	0.471
F003_A_2_36_1	F003	A	2	36	1	0.449
F003_A_3_36_1	F003	A	3	36	1	0.486
F003_A_4_36_1	F003	A	4	36	1	0.513
F003_A_5_36_1	F003	A	5	36	1	0.556
F003_A_6_36_1	F003	A	6	36	1	0.498
F003_A_7_36_1	F003	A	7	36	1	0.504
F003_A_8_36_1	F003	A	8	36	1	0.494
F003_A_9_36_1	F003	A	9	36	1	0.574
F003_A_10_36_1	F003	A	10	36	1	0.541
F003_A_1_39_1	F003	A	1	39	1	0.039
F003_A_2_39_1	F003	A	2	39	1	0.104
F003_A_3_39_1	F003	A	3	39	1	0.114
F003_A_4_39_1	F003	A	4	39	1	0.099
F003_A_5_39_1	F003	A	5	39	1	0.104
F003_A_6_39_1	F003	A	6	39	1	0.079
F003_A_7_39_1	F003	A	7	39	1	0.227
F003_A_8_39_1	F003	A	8	39	1	0.115
F003_A_9_39_1	F003	A	9	39	1	0.212
F003_A_10_39_1	F003	A	10	39	1	0.164
F003_B_1_30_1	F003	B	1	30	1	0.590
F003_B_2_30_1	F003	B	2	30	1	0.520
F003_B_3_30_1	F003	B	3	30	1	0.578
F003_B_4_30_1	F003	B	4	30	1	0.573
F003_B_5_30_1	F003	B	5	30	1	0.618
F003_B_6_30_1	F003	B	6	30	1	0.435
F003_B_7_30_1	F003	B	7	30	1	0.584
F003_B_8_30_1	F003	B	8	30	1	0.555
F003_B_9_30_1	F003	B	9	30	1	0.526
F003_B_10_30_1	F003	B	10	30	1	0.556
F003_B_1_34_1	F003	B	1	34	1	0.489
F003_B_2_34_1	F003	B	2	34	1	0.498
F003_B_3_34_1	F003	B	3	34	1	0.598
F003_B_4_34_1	F003	B	4	34	1	0.499
F003_B_5_34_1	F003	B	5	34	1	0.570
F003_B_6_34_1	F003	B	6	34	1	0.581
F003_B_7_34_1	F003	B	7	34	1	0.580
F003_B_8_34_1	F003	B	8	34	1	0.473
F003_B_9_34_1	F003	B	9	34	1	0.495
F003_B_10_34_1	F003	B	10	34	1	0.483
F003_B_1_36_1	F003	B	1	36	1	0.407
F003_B_2_36_1	F003	B	2	36	1	0.472
F003_B_3_36_1	F003	B	3	36	1	0.560
F003_B_4_36_1	F003	B	4	36	1	0.567
F003_B_5_36_1	F003	B	5	36	1	0.468
F003_B_6_36_1	F003	B	6	36	1	0.536
F003_B_7_36_1	F003	B	7	36	1	0.480
F003_B_8_36_1	F003	B	8	36	1	0.541
F003_B_9_36_1	F003	B	9	36	1	0.544
F003_B_10_36_1	F003	B	10	36	1	0.575
F003_B_1_39_1	F003	B	1	39	1	0.036
F003_B_2_39_1	F003	B	2	39	1	0.309
F003_B_3_39_1	F003	B	3	39	1	0.075
F003_B_4_39_1	F003	B	4	39	1	0.226
F003_B_5_39_1	F003	B	5	39	1	0.108
F003_B_6_39_1	F003	B	6	39	1	0.038
F003_B_7_39_1	F003	B	7	39	1	0.029
F003_B_8_39_1	F003	B	8	39	1	0.143
F003_B_9_39_1	F003	B	9	39	1	0.178
F003_B_10_39_1	F003	B	10	39	1	0.046
F003_B_1_30_2	F003	B	1	30	2	0.580
F003_B_2_30_2	F003	B	2	30	2	0.562
F003_B_3_30_2	F003	B	3	30	2	0.569
F003_B_4_30_2	F003	B	4	30	2	0.571
F003_B_5_30_2	F003	B	5	30	2	0.552
F003_B_6_30_2	F003	B	6	30	2	0.536
F003_B_7_30_2	F003	B	7	30	2	0.597
F003_B_8_30_2	F003	B	8	30	2	0.555
F003_B_9_30_2	F003	B	9	30	2	0.571
F003_B_10_30_2	F003	B	10	30	2	0.559
F003_B_1_34_2	F003	B	1	34	2	0.235
F003_B_2_34_2	F003	B	2	34	2	0.531
F003_B_3_34_2	F003	B	3	34	2	0.565
F003_B_4_34_2	F003	B	4	34	2	0.234
F003_B_5_34_2	F003	B	5	34	2	0.623
F003_B_6_34_2	F003	B	6	34	2	0.505
F003_B_7_34_2	F003	B	7	34	2	0.573
F003_B_8_34_2	F003	B	8	34	2	0.548
F003_B_9_34_2	F003	B	9	34	2	0.538
F003_B_10_34_2	F003	B	10	34	2	0.543
F003_B_1_36_2	F003	B	1	36	2	0.000
F003_B_2_36_2	F003	B	2	36	2	0.083
F003_B_3_36_2	F003	B	3	36	2	0.086
F003_B_4_36_2	F003	B	4	36	2	0.513
F003_B_5_36_2	F003	B	5	36	2	0.520
F003_B_6_36_2	F003	B	6	36	2	0.511
F003_B_7_36_2	F003	B	7	36	2	0.517
F003_B_8_36_2	F003	B	8	36	2	0.138
F003_B_9_36_2	F003	B	9	36	2	0.520
F003_B_10_36_2	F003	B	10	36	2	0.565
F003_B_1_39_2	F003	B	1	39	2	0.035
F003_B_2_39_2	F003	B	2	39	2	0.000
F003_B_3_39_2	F003	B	3	39	2	0.000
F003_B_4_39_2	F003	B	4	39	2	0.079
F003_B_5_39_2	F003	B	5	39	2	0.013
F003_B_6_39_2	F003	B	6	39	2	0.040
F003_B_7_39_2	F003	B	7	39	2	0.000
F003_B_8_39_2	F003	B	8	39	2	0.019
F003_B_9_39_2	F003	B	9	39	2	0.027
F003_B_10_39_2	F003	B	10	39	2	0.017
F003_B_1_30_3	F003	B	1	30	3	0.609
F003_B_2_30_3	F003	B	2	30	3	0.614
F003_B_3_30_3	F003	B	3	30	3	0.550
F003_B_4_30_3	F003	B	4	30	3	0.598
F003_B_5_30_3	F003	B	5	30	3	0.615
F003_B_6_30_3	F003	B	6	30	3	0.570
F003_B_7_30_3	F003	B	7	30	3	0.583
F003_B_8_30_3	F003	B	8	30	3	0.546
F003_B_9_30_3	F003	B	9	30	3	0.536
F003_B_10_30_3	F003	B	10	30	3	0.564
F003_B_1_34_3	F003	B	1	34	3	0.094
F003_B_2_34_3	F003	B	2	34	3	0.532
F003_B_3_34_3	F003	B	3	34	3	0.500
F003_B_4_34_3	F003	B	4	34	3	0.010
F003_B_5_34_3	F003	B	5	34	3	0.563
F003_B_6_34_3	F003	B	6	34	3	0.565
F003_B_7_34_3	F003	B	7	34	3	0.360
F003_B_8_34_3	F003	B	8	34	3	0.531
F003_B_9_34_3	F003	B	9	34	3	0.557
F003_B_10_34_3	F003	B	10	34	3	0.565
F003_B_1_36_3	F003	B	1	36	3	0.026
F003_B_2_36_3	F003	B	2	36	3	0.000
F003_B_3_36_3	F003	B	3	36	3	0.029
F003_B_4_36_3	F003	B	4	36	3	0.551
F003_B_5_36_3	F003	B	5	36	3	0.574
F003_B_6_36_3	F003	B	6	36	3	0.521
F003_B_7_36_3	F003	B	7	36	3	0.527
F003_B_8_36_3	F003	B	8	36	3	0.050
F003_B_9_36_3	F003	B	9	36	3	0.609
F003_B_10_36_3	F003	B	10	36	3	0.601
F003_B_1_39_3	F003	B	1	39	3	0.000
F003_B_2_39_3	F003	B	2	39	3	0.000
F003_B_3_39_3	F003	B	3	39	3	0.000
F003_B_4_39_3	F003	B	4	39	3	0.028
F003_B_5_39_3	F003	B	5	39	3	0.053
F003_B_6_39_3	F003	B	6	39	3	0.000
F003_B_7_39_3	F003	B	7	39	3	0.000
F003_B_8_39_3	F003	B	8	39	3	0.033
F003_B_9_39_3	F003	B	9	39	3	0.000
F003_B_10_39_3	F003	B	10	39	3	0.053
F003_B_1_30_4	F003	B	1	30	4	0.562
F003_B_2_30_4	F003	B	2	30	4	0.576
F003_B_3_30_4	F003	B	3	30	4	0.527
F003_B_4_30_4	F003	B	4	30	4	0.582
F003_B_5_30_4	F003	B	5	30	4	0.601
F003_B_6_30_4	F003	B	6	30	4	0.549
F003_B_7_30_4	F003	B	7	30	4	0.573
F003_B_8_30_4	F003	B	8	30	4	0.564
F003_B_9_30_4	F003	B	9	30	4	0.511
F003_B_10_30_4	F003	B	10	30	4	0.595
F003_B_1_34_4	F003	B	1	34	4	0.000
F003_B_2_34_4	F003	B	2	34	4	0.555
F003_B_3_34_4	F003	B	3	34	4	0.548
F003_B_4_34_4	F003	B	4	34	4	0.037
F003_B_5_34_4	F003	B	5	34	4	0.525
F003_B_6_34_4	F003	B	6	34	4	0.573
F003_B_7_34_4	F003	B	7	34	4	0.582
F003_B_8_34_4	F003	B	8	34	4	0.562
F003_B_9_34_4	F003	B	9	34	4	0.561
F003_B_10_34_4	F003	B	10	34	4	0.584
F003_B_1_36_4	F003	B	1	36	4	0.000
F003_B_2_36_4	F003	B	2	36	4	0.000
F003_B_3_36_4	F003	B	3	36	4	0.000
F003_B_4_36_4	F003	B	4	36	4	0.556
F003_B_5_36_4	F003	B	5	36	4	0.552
F003_B_6_36_4	F003	B	6	36	4	0.566
F003_B_7_36_4	F003	B	7	36	4	0.522
F003_B_8_36_4	F003	B	8	36	4	0.108
F003_B_9_36_4	F003	B	9	36	4	0.577
F003_B_10_36_4	F003	B	10	36	4	0.609
F003_B_1_39_4	F003	B	1	39	4	0.055
F003_B_2_39_4	F003	B	2	39	4	0.058
F003_B_3_39_4	F003	B	3	39	4	0.000
F003_B_4_39_4	F003	B	4	39	4	0.066
F003_B_5_39_4	F003	B	5	39	4	0.026
F003_B_6_39_4	F003	B	6	39	4	0.000
F003_B_7_39_4	F003	B	7	39	4	0.000
F003_B_8_39_4	F003	B	8	39	4	0.032
F003_B_9_39_4	F003	B	9	39	4	0.000
F003_B_10_39_4	F003	B	10	39	4	0.053
F003_B_1_30_5	F003	B	1	30	5	0.528
F003_B_2_30_5	F003	B	2	30	5	0.430
F003_B_3_30_5	F003	B	3	30	5	0.538
F003_B_4_30_5	F003	B	4	30	5	0.514
F003_B_5_30_5	F003	B	5	30	5	0.557
F003_B_6_30_5	F003	B	6	30	5	0.530
F003_B_7_30_5	F003	B	7	30	5	0.543
F003_B_8_30_5	F003	B	8	30	5	0.537
F003_B_9_30_5	F003	B	9	30	5	0.529
F003_B_10_30_5	F003	B	10	30	5	0.527
F003_B_1_34_5	F003	B	1	34	5	0.505
F003_B_2_34_5	F003	B	2	34	5	0.512
F003_B_3_34_5	F003	B	3	34	5	0.598
F003_B_4_34_5	F003	B	4	34	5	0.309
F003_B_5_34_5	F003	B	5	34	5	0.566
F003_B_6_34_5	F003	B	6	34	5	0.515
F003_B_7_34_5	F003	B	7	34	5	0.538
F003_B_8_34_5	F003	B	8	34	5	0.554
F003_B_1_36_5	F003	B	1	36	5	0.536
F003_B_2_36_5	F003	B	2	36	5	0.575
F003_B_3_36_5	F003	B	3	36	5	0.500
F003_B_4_36_5	F003	B	4	36	5	0.530
F003_B_5_36_5	F003	B	5	36	5	0.443
F003_B_6_36_5	F003	B	6	36	5	0.512
F003_B_1_39_5	F003	B	1	39	5	0.000
F003_B_2_39_5	F003	B	2	39	5	0.000
F003_B_3_39_5	F003	B	3	39	5	0.000
F003_B_4_39_5	F003	B	4	39	5	0.000
F003_B_5_39_5	F003	B	5	39	5	0.000
F003_B_6_39_5	F003	B	6	39	5	0.000
F003_B_7_39_5	F003	B	7	39	5	0.000
F003_B_8_39_5	F003	B	8	39	5	0.000
F003_B_9_39_5	F003	B	9	39	5	0.000
F003_B_10_39_5	F003	B	10	39	5	0.000
H2_A_1_30_1	H2	A	1	30	1	0.571
H2_A_2_30_1	H2	A	2	30	1	0.587
H2_A_3_30_1	H2	A	3	30	1	0.579
H2_A_4_30_1	H2	A	4	30	1	0.603
H2_A_5_30_1	H2	A	5	30	1	0.589
H2_A_6_30_1	H2	A	6	30	1	0.586
H2_A_7_30_1	H2	A	7	30	1	0.591
H2_A_8_30_1	H2	A	8	30	1	0.611
H2_A_9_30_1	H2	A	9	30	1	0.581
H2_A_10_30_1	H2	A	10	30	1	0.588
H2_A_1_34_1	H2	A	1	34	1	0.638
H2_A_2_34_1	H2	A	2	34	1	0.523
H2_A_3_34_1	H2	A	3	34	1	0.609
H2_A_4_34_1	H2	A	4	34	1	0.534
H2_A_5_34_1	H2	A	5	34	1	0.538
H2_A_6_34_1	H2	A	6	34	1	0.496
H2_A_7_34_1	H2	A	7	34	1	0.570
H2_A_8_34_1	H2	A	8	34	1	0.546
H2_A_9_34_1	H2	A	9	34	1	0.579
H2_A_10_34_1	H2	A	10	34	1	0.584
H2_A_1_36_1	H2	A	1	36	1	0.404
H2_A_2_36_1	H2	A	2	36	1	0.521
H2_A_3_36_1	H2	A	3	36	1	0.464
H2_A_4_36_1	H2	A	4	36	1	0.433
H2_A_5_36_1	H2	A	5	36	1	0.496
H2_A_6_36_1	H2	A	6	36	1	0.459
H2_A_7_36_1	H2	A	7	36	1	0.442
H2_A_8_36_1	H2	A	8	36	1	0.488
H2_A_9_36_1	H2	A	9	36	1	0.458
H2_A_10_36_1	H2	A	10	36	1	0.477
H2_A_1_39_1	H2	A	1	39	1	0.108
H2_A_2_39_1	H2	A	2	39	1	0.139
H2_A_3_39_1	H2	A	3	39	1	0.096
H2_A_4_39_1	H2	A	4	39	1	0.000
H2_A_5_39_1	H2	A	5	39	1	0.140
H2_A_6_39_1	H2	A	6	39	1	0.106
H2_A_7_39_1	H2	A	7	39	1	0.017
H2_A_8_39_1	H2	A	8	39	1	0.041
H2_A_9_39_1	H2	A	9	39	1	0.032
H2_A_10_39_1	H2	A	10	39	1	0.027
H2_B_1_30_1	H2	B	1	30	1	0.615
H2_B_2_30_1	H2	B	2	30	1	0.578
H2_B_3_30_1	H2	B	3	30	1	0.582
H2_B_4_30_1	H2	B	4	30	1	0.602
H2_B_5_30_1	H2	B	5	30	1	0.592
H2_B_6_30_1	H2	B	6	30	1	0.615
H2_B_7_30_1	H2	B	7	30	1	0.617
H2_B_8_30_1	H2	B	8	30	1	0.629
H2_B_9_30_1	H2	B	9	30	1	0.649
H2_B_10_30_1	H2	B	10	30	1	0.596
H2_B_1_34_1	H2	B	1	34	1	0.557
H2_B_2_34_1	H2	B	2	34	1	0.553
H2_B_3_34_1	H2	B	3	34	1	0.580
H2_B_4_34_1	H2	B	4	34	1	0.574
H2_B_5_34_1	H2	B	5	34	1	0.640
H2_B_6_34_1	H2	B	6	34	1	0.579
H2_B_7_34_1	H2	B	7	34	1	0.565
H2_B_8_34_1	H2	B	8	34	1	0.561
H2_B_9_34_1	H2	B	9	34	1	0.527
H2_B_10_34_1	H2	B	10	34	1	0.596
H2_B_1_36_1	H2	B	1	36	1	0.521
H2_B_2_36_1	H2	B	2	36	1	0.570
H2_B_3_36_1	H2	B	3	36	1	0.510
H2_B_4_36_1	H2	B	4	36	1	0.504
H2_B_5_36_1	H2	B	5	36	1	0.540
H2_B_6_36_1	H2	B	6	36	1	0.491
H2_B_7_36_1	H2	B	7	36	1	0.458
H2_B_8_36_1	H2	B	8	36	1	0.427
H2_B_9_36_1	H2	B	9	36	1	0.537
H2_B_10_36_1	H2	B	10	36	1	0.584
H2_B_1_39_1	H2	B	1	38.2	1	0.148
H2_B_2_39_1	H2	B	2	38.2	1	0.051
H2_B_3_39_1	H2	B	3	38.2	1	0.117
H2_B_4_39_1	H2	B	4	38.2	1	0.175
H2_B_5_39_1	H2	B	5	38.2	1	0.109
H2_B_6_39_1	H2	B	6	38.2	1	0.168
H2_B_7_39_1	H2	B	7	38.2	1	0.000
H2_B_8_39_1	H2	B	8	38.2	1	0.100
H2_B_9_39_1	H2	B	9	38.2	1	0.158
H2_B_10_39_1	H2	B	10	38.2	1	0.088
H2_B_1_30_2	H2	B	1	30	2	0.570
H2_B_2_30_2	H2	B	2	30	2	0.589
H2_B_3_30_2	H2	B	3	30	2	0.572
H2_B_4_30_2	H2	B	4	30	2	0.594
H2_B_5_30_2	H2	B	5	30	2	0.583
H2_B_6_30_2	H2	B	6	30	2	0.595
H2_B_7_30_2	H2	B	7	30	2	0.593
H2_B_8_30_2	H2	B	8	30	2	0.594
H2_B_9_30_2	H2	B	9	30	2	0.623
H2_B_10_30_2	H2	B	10	30	2	0.593
H2_B_1_34_2	H2	B	1	34	2	0.583
H2_B_2_34_2	H2	B	2	34	2	0.567
H2_B_3_34_2	H2	B	3	34	2	0.525
H2_B_4_34_2	H2	B	4	34	2	0.570
H2_B_5_34_2	H2	B	5	34	2	0.556
H2_B_6_34_2	H2	B	6	34	2	0.527
H2_B_7_34_2	H2	B	7	34	2	0.549
H2_B_8_34_2	H2	B	8	34	2	0.558
H2_B_9_34_2	H2	B	9	34	2	0.547
H2_B_10_34_2	H2	B	10	34	2	0.578
H2_B_1_36_2	H2	B	1	36	2	0.497
H2_B_2_36_2	H2	B	2	36	2	0.482
H2_B_3_36_2	H2	B	3	36	2	0.420
H2_B_4_36_2	H2	B	4	36	2	0.566
H2_B_5_36_2	H2	B	5	36	2	0.503
H2_B_6_36_2	H2	B	6	36	2	0.437
H2_B_7_36_2	H2	B	7	36	2	0.471
H2_B_8_36_2	H2	B	8	36	2	0.109
H2_B_9_36_2	H2	B	9	36	2	0.471
H2_B_10_36_2	H2	B	10	36	2	0.313
H2_B_1_39_2	H2	B	1	38.2	2	0.027
H2_B_2_39_2	H2	B	2	38.2	2	0.000
H2_B_3_39_2	H2	B	3	38.2	2	0.027
H2_B_4_39_2	H2	B	4	38.2	2	0.062
H2_B_5_39_2	H2	B	5	38.2	2	0.000
H2_B_6_39_2	H2	B	6	38.2	2	0.118
H2_B_7_39_2	H2	B	7	38.2	2	0.063
H2_B_8_39_2	H2	B	8	38.2	2	0.135
H2_B_9_39_2	H2	B	9	38.2	2	0.014
H2_B_10_39_2	H2	B	10	38.2	2	0.005
H2_B_1_30_3	H2	B	1	30	3	0.614
H2_B_2_30_3	H2	B	2	30	3	0.593
H2_B_3_30_3	H2	B	3	30	3	0.592
H2_B_4_30_3	H2	B	4	30	3	0.636
H2_B_5_30_3	H2	B	5	30	3	0.605
H2_B_6_30_3	H2	B	6	30	3	0.616
H2_B_7_30_3	H2	B	7	30	3	0.593
H2_B_8_30_3	H2	B	8	30	3	0.633
H2_B_9_30_3	H2	B	9	30	3	0.601
H2_B_10_30_3	H2	B	10	30	3	0.612
H2_B_1_34_3	H2	B	1	34	3	0.586
H2_B_2_34_3	H2	B	2	34	3	0.529
H2_B_3_34_3	H2	B	3	34	3	0.585
H2_B_4_34_3	H2	B	4	34	3	0.617
H2_B_5_34_3	H2	B	5	34	3	0.587
H2_B_6_34_3	H2	B	6	34	3	0.104
H2_B_7_34_3	H2	B	7	34	3	0.596
H2_B_8_34_3	H2	B	8	34	3	0.594
H2_B_9_34_3	H2	B	9	34	3	0.601
H2_B_10_34_3	H2	B	10	34	3	0.610
H2_B_1_36_3	H2	B	1	36	3	0.433
H2_B_2_36_3	H2	B	2	36	3	0.308
H2_B_3_36_3	H2	B	3	36	3	0.366
H2_B_4_36_3	H2	B	4	36	3	0.385
H2_B_5_36_3	H2	B	5	36	3	0.467
H2_B_6_36_3	H2	B	6	36	3	0.034
H2_B_7_36_3	H2	B	7	36	3	0.148
H2_B_8_36_3	H2	B	8	36	3	0.017
H2_B_9_36_3	H2	B	9	36	3	0.000
H2_B_10_36_3	H2	B	10	36	3	0.115
H2_B_1_39_3	H2	B	1	38.2	3	0.000
H2_B_2_39_3	H2	B	2	38.2	3	0.000
H2_B_3_39_3	H2	B	3	38.2	3	0.000
H2_B_4_39_3	H2	B	4	38.2	3	0.000
H2_B_5_39_3	H2	B	5	38.2	3	0.000
H2_B_6_39_3	H2	B	6	38.2	3	0.000
H2_B_7_39_3	H2	B	7	38.2	3	0.000
H2_B_8_39_3	H2	B	8	38.2	3	0.000
H2_B_9_39_3	H2	B	9	38.2	3	0.000
H2_B_10_39_3	H2	B	10	38.2	3	0.000
H2_B_1_30_4	H2	B	1	30	4	0.599
H2_B_2_30_4	H2	B	2	30	4	0.585
H2_B_3_30_4	H2	B	3	30	4	0.587
H2_B_4_30_4	H2	B	4	30	4	0.612
H2_B_5_30_4	H2	B	5	30	4	0.627
H2_B_6_30_4	H2	B	6	30	4	0.610
H2_B_7_30_4	H2	B	7	30	4	0.607
H2_B_8_30_4	H2	B	8	30	4	0.607
