Aiptasia_ID	Strain	System	Replicate	Treatment	Temperature	Timepoint	PAM
F003_A_1_C_30_1	F003	A	1	Control	30	1	0.530
F003_A_2_C_30_1	F003	A	2	Control	30	1	0.576
F003_A_3_C_30_1	F003	A	3	Control	30	1	0.628
F003_A_4_C_30_1	F003	A	4	Control	30	1	0.588
F003_A_5_C_30_1	F003	A	5	Control	30	1	0.557
F003_A_6_C_30_1	F003	A	6	Control	30	1	0.616
F003_A_7_C_30_1	F003	A	7	Control	30	1	0.584
F003_A_8_C_30_1	F003	A	8	Control	30	1	0.614
F003_A_9_C_30_1	F003	A	9	Control	30	1	0.540
F003_A_10_C_30_1	F003	A	10	Control	30	1	0.552
F003_A_1_C_34_1	F003	A	1	Control	34	1	0.583
F003_A_2_C_34_1	F003	A	2	Control	34	1	0.500
F003_A_3_C_34_1	F003	A	3	Control	34	1	0.484
F003_A_4_C_34_1	F003	A	4	Control	34	1	0.511
F003_A_5_C_34_1	F003	A	5	Control	34	1	0.592
F003_A_6_C_34_1	F003	A	6	Control	34	1	0.520
F003_A_7_C_34_1	F003	A	7	Control	34	1	0.584
F003_A_8_C_34_1	F003	A	8	Control	34	1	0.547
F003_A_9_C_34_1	F003	A	9	Control	34	1	0.404
F003_A_10_C_34_1	F003	A	10	Control	34	1	0.479
F003_A_1_C_36_1	F003	A	1	Control	36	1	0.471
F003_A_2_C_36_1	F003	A	2	Control	36	1	0.449
F003_A_3_C_36_1	F003	A	3	Control	36	1	0.486
F003_A_4_C_36_1	F003	A	4	Control	36	1	0.513
F003_A_5_C_36_1	F003	A	5	Control	36	1	0.556
F003_A_6_C_36_1	F003	A	6	Control	36	1	0.498
F003_A_7_C_36_1	F003	A	7	Control	36	1	0.504
F003_A_8_C_36_1	F003	A	8	Control	36	1	0.494
F003_A_9_C_36_1	F003	A	9	Control	36	1	0.574
F003_A_10_C_36_1	F003	A	10	Control	36	1	0.541
F003_A_1_C_39_1	F003	A	1	Control	39	1	0.039
F003_A_2_C_39_1	F003	A	2	Control	39	1	0.104
F003_A_3_C_39_1	F003	A	3	Control	39	1	0.114
F003_A_4_C_39_1	F003	A	4	Control	39	1	0.099
F003_A_5_C_39_1	F003	A	5	Control	39	1	0.104
F003_A_6_C_39_1	F003	A	6	Control	39	1	0.079
F003_A_7_C_39_1	F003	A	7	Control	39	1	0.227
F003_A_8_C_39_1	F003	A	8	Control	39	1	0.115
F003_A_9_C_39_1	F003	A	9	Control	39	1	0.212
F003_A_10_C_39_1	F003	A	10	Control	39	1	0.164
F003_B_1_C_30_1	F003	B	1	Control	30	1	0.590
F003_B_2_C_30_1	F003	B	2	Control	30	1	0.520
F003_B_3_C_30_1	F003	B	3	Control	30	1	0.578
F003_B_4_C_30_1	F003	B	4	Control	30	1	0.573
F003_B_5_C_30_1	F003	B	5	Control	30	1	0.618
F003_B_6_C_30_1	F003	B	6	Control	30	1	0.435
F003_B_7_C_30_1	F003	B	7	Control	30	1	0.584
F003_B_8_C_30_1	F003	B	8	Control	30	1	0.555
F003_B_9_C_30_1	F003	B	9	Control	30	1	0.526
F003_B_10_C_30_1	F003	B	10	Control	30	1	0.556
F003_B_1_C_34_1	F003	B	1	Control	34	1	0.489
F003_B_2_C_34_1	F003	B	2	Control	34	1	0.498
F003_B_3_C_34_1	F003	B	3	Control	34	1	0.598
F003_B_4_C_34_1	F003	B	4	Control	34	1	0.499
F003_B_5_C_34_1	F003	B	5	Control	34	1	0.570
F003_B_6_C_34_1	F003	B	6	Control	34	1	0.581
F003_B_7_C_34_1	F003	B	7	Control	34	1	0.580
F003_B_8_C_34_1	F003	B	8	Control	34	1	0.473
F003_B_9_C_34_1	F003	B	9	Control	34	1	0.495
F003_B_10_C_34_1	F003	B	10	Control	34	1	0.483
F003_B_1_C_36_1	F003	B	1	Control	36	1	0.407
F003_B_2_C_36_1	F003	B	2	Control	36	1	0.472
F003_B_3_C_36_1	F003	B	3	Control	36	1	0.560
F003_B_4_C_36_1	F003	B	4	Control	36	1	0.567
F003_B_5_C_36_1	F003	B	5	Control	36	1	0.468
F003_B_6_C_36_1	F003	B	6	Control	36	1	0.536
F003_B_7_C_36_1	F003	B	7	Control	36	1	0.480
F003_B_8_C_36_1	F003	B	8	Control	36	1	0.541
F003_B_9_C_36_1	F003	B	9	Control	36	1	0.544
F003_B_10_C_36_1	F003	B	10	Control	36	1	0.575
F003_B_1_C_39_1	F003	B	1	Control	39	1	0.036
F003_B_2_C_39_1	F003	B	2	Control	39	1	0.309
F003_B_3_C_39_1	F003	B	3	Control	39	1	0.075
F003_B_4_C_39_1	F003	B	4	Control	39	1	0.226
F003_B_5_C_39_1	F003	B	5	Control	39	1	0.108
F003_B_6_C_39_1	F003	B	6	Control	39	1	0.038
F003_B_7_C_39_1	F003	B	7	Control	39	1	0.029
F003_B_8_C_39_1	F003	B	8	Control	39	1	0.143
F003_B_9_C_39_1	F003	B	9	Control	39	1	0.178
F003_B_10_C_39_1	F003	B	10	Control	39	1	0.046
F003_B_2_V_30_1	F003	B	2	Vibrio	30	1	0.540
F003_B_3_V_30_1	F003	B	3	Vibrio	30	1	0.456
F003_B_4_V_30_1	F003	B	4	Vibrio	30	1	0.341
F003_B_5_V_30_1	F003	B	5	Vibrio	30	1	0.480
F003_B_1_V_34_1	F003	B	1	Vibrio	34	1	0.116
F003_B_2_V_34_1	F003	B	2	Vibrio	34	1	0.079
F003_B_3_V_34_1	F003	B	3	Vibrio	34	1	0.426
F003_B_4_V_34_1	F003	B	4	Vibrio	34	1	0.528
F003_B_5_V_34_1	F003	B	5	Vibrio	34	1	0.466
F003_B_1_V_36_1	F003	B	1	Vibrio	36	1	0.215
F003_B_2_V_36_1	F003	B	2	Vibrio	36	1	0.316
F003_B_3_V_36_1	F003	B	3	Vibrio	36	1	0.293
F003_B_4_V_36_1	F003	B	4	Vibrio	36	1	0.315
F003_B_5_V_36_1	F003	B	5	Vibrio	36	1	0.000
F003_B_1_V_39_1	F003	B	1	Vibrio	39	1	0.027
F003_B_2_V_39_1	F003	B	2	Vibrio	39	1	0.000
F003_B_3_V_39_1	F003	B	3	Vibrio	39	1	0.000
F003_B_4_V_39_1	F003	B	4	Vibrio	39	1	0.041
F003_B_5_V_39_1	F003	B	5	Vibrio	39	1	0.022
H2_A_1_C_30_1	H2	A	1	Control	30	1	0.571
H2_A_2_C_30_1	H2	A	2	Control	30	1	0.587
H2_A_3_C_30_1	H2	A	3	Control	30	1	0.579
H2_A_4_C_30_1	H2	A	4	Control	30	1	0.603
H2_A_5_C_30_1	H2	A	5	Control	30	1	0.589
H2_A_6_C_30_1	H2	A	6	Control	30	1	0.586
H2_A_7_C_30_1	H2	A	7	Control	30	1	0.591
H2_A_8_C_30_1	H2	A	8	Control	30	1	0.611
H2_A_9_C_30_1	H2	A	9	Control	30	1	0.581
H2_A_10_C_30_1	H2	A	10	Control	30	1	0.588
H2_A_1_C_34_1	H2	A	1	Control	34	1	0.638
H2_A_2_C_34_1	H2	A	2	Control	34	1	0.523
H2_A_3_C_34_1	H2	A	3	Control	34	1	0.609
H2_A_4_C_34_1	H2	A	4	Control	34	1	0.534
H2_A_5_C_34_1	H2	A	5	Control	34	1	0.538
H2_A_6_C_34_1	H2	A	6	Control	34	1	0.496
H2_A_7_C_34_1	H2	A	7	Control	34	1	0.570
H2_A_8_C_34_1	H2	A	8	Control	34	1	0.546
H2_A_9_C_34_1	H2	A	9	Control	34	1	0.579
H2_A_10_C_34_1	H2	A	10	Control	34	1	0.584
H2_A_1_C_36_1	H2	A	1	Control	36	1	0.404
H2_A_2_C_36_1	H2	A	2	Control	36	1	0.521
H2_A_3_C_36_1	H2	A	3	Control	36	1	0.464
H2_A_4_C_36_1	H2	A	4	Control	36	1	0.433
H2_A_5_C_36_1	H2	A	5	Control	36	1	0.496
H2_A_6_C_36_1	H2	A	6	Control	36	1	0.459
H2_A_7_C_36_1	H2	A	7	Control	36	1	0.442
H2_A_8_C_36_1	H2	A	8	Control	36	1	0.488
H2_A_9_C_36_1	H2	A	9	Control	36	1	0.458
H2_A_10_C_36_1	H2	A	10	Control	36	1	0.477
H2_A_1_C_39_1	H2	A	1	Control	39	1	0.108
H2_A_2_C_39_1	H2	A	2	Control	39	1	0.139
H2_A_3_C_39_1	H2	A	3	Control	39	1	0.096
H2_A_4_C_39_1	H2	A	4	Control	39	1	0.000
H2_A_5_C_39_1	H2	A	5	Control	39	1	0.140
H2_A_6_C_39_1	H2	A	6	Control	39	1	0.106
H2_A_7_C_39_1	H2	A	7	Control	39	1	0.017
H2_A_8_C_39_1	H2	A	8	Control	39	1	0.041
H2_A_9_C_39_1	H2	A	9	Control	39	1	0.032
H2_A_10_C_39_1	H2	A	10	Control	39	1	0.027
H2_B_1_C_30_1	H2	B	1	Control	30	1	0.615
H2_B_2_C_30_1	H2	B	2	Control	30	1	0.578
H2_B_3_C_30_1	H2	B	3	Control	30	1	0.582
H2_B_4_C_30_1	H2	B	4	Control	30	1	0.602
H2_B_5_C_30_1	H2	B	5	Control	30	1	0.592
H2_B_6_C_30_1	H2	B	6	Control	30	1	0.615
H2_B_7_C_30_1	H2	B	7	Control	30	1	0.617
H2_B_8_C_30_1	H2	B	8	Control	30	1	0.629
H2_B_9_C_30_1	H2	B	9	Control	30	1	0.649
H2_B_10_C_30_1	H2	B	10	Control	30	1	0.596
H2_B_1_C_34_1	H2	B	1	Control	34	1	0.557
H2_B_2_C_34_1	H2	B	2	Control	34	1	0.553
H2_B_3_C_34_1	H2	B	3	Control	34	1	0.580
H2_B_4_C_34_1	H2	B	4	Control	34	1	0.574
H2_B_5_C_34_1	H2	B	5	Control	34	1	0.640
H2_B_6_C_34_1	H2	B	6	Control	34	1	0.579
H2_B_7_C_34_1	H2	B	7	Control	34	1	0.565
H2_B_8_C_34_1	H2	B	8	Control	34	1	0.561
H2_B_9_C_34_1	H2	B	9	Control	34	1	0.527
H2_B_10_C_34_1	H2	B	10	Control	34	1	0.596
H2_B_1_C_36_1	H2	B	1	Control	36	1	0.521
H2_B_2_C_36_1	H2	B	2	Control	36	1	0.570
H2_B_3_C_36_1	H2	B	3	Control	36	1	0.510
H2_B_4_C_36_1	H2	B	4	Control	36	1	0.504
H2_B_5_C_36_1	H2	B	5	Control	36	1	0.540
H2_B_6_C_36_1	H2	B	6	Control	36	1	0.491
H2_B_7_C_36_1	H2	B	7	Control	36	1	0.458
H2_B_8_C_36_1	H2	B	8	Control	36	1	0.427
H2_B_9_C_36_1	H2	B	9	Control	36	1	0.537
H2_B_10_C_36_1	H2	B	10	Control	36	1	0.584
H2_B_1_C_39_1	H2	B	1	Control	38.2	1	0.148
H2_B_2_C_39_1	H2	B	2	Control	38.2	1	0.051
H2_B_3_C_39_1	H2	B	3	Control	38.2	1	0.117
H2_B_4_C_39_1	H2	B	4	Control	38.2	1	0.175
H2_B_5_C_39_1	H2	B	5	Control	38.2	1	0.109
H2_B_6_C_39_1	H2	B	6	Control	38.2	1	0.168
H2_B_7_C_39_1	H2	B	7	Control	38.2	1	0.000
H2_B_8_C_39_1	H2	B	8	Control	38.2	1	0.100
H2_B_9_C_39_1	H2	B	9	Control	38.2	1	0.158
H2_B_10_C_39_1	H2	B	10	Control	38.2	1	0.088
H2_B_1_V_30_1	H2	B	1	Vibrio	30	1	0.432
H2_B_2_V_30_1	H2	B	2	Vibrio	30	1	0.596
H2_B_3_V_30_1	H2	B	3	Vibrio	30	1	0.610
H2_B_4_V_30_1	H2	B	4	Vibrio	30	1	0.598
H2_B_5_V_30_1	H2	B	5	Vibrio	30	1	0.585
H2_B_1_V_34_1	H2	B	1	Vibrio	34	1	0.000
H2_B_2_V_34_1	H2	B	2	Vibrio	34	1	0.374
H2_B_3_V_34_1	H2	B	3	Vibrio	34	1	0.538
H2_B_4_V_34_1	H2	B	4	Vibrio	34	1	0.453
H2_B_5_V_34_1	H2	B	5	Vibrio	34	1	0.404
H2_B_1_V_36_1	H2	B	1	Vibrio	36	1	0.065
H2_B_2_V_36_1	H2	B	2	Vibrio	36	1	0.141
H2_B_3_V_36_1	H2	B	3	Vibrio	36	1	0.106
H2_B_4_V_36_1	H2	B	4	Vibrio	36	1	0.274
H2_B_5_V_36_1	H2	B	5	Vibrio	36	1	0.137
H2_B_1_V_39_1	H2	B	1	Vibrio	39	1	0.014
H2_B_2_V_39_1	H2	B	2	Vibrio	39	1	0.000
H2_B_3_V_39_1	H2	B	3	Vibrio	39	1	0.010
H2_B_4_V_39_1	H2	B	4	Vibrio	39	1	0.000
H2_B_5_V_39_1	H2	B	5	Vibrio	39	1	0.028.
